title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
AI based Driverless Taxi (No Driver) | Real life Tarzan the wonder car!,2024-05-07 10:13:56+00:00,PT51S,1439582,54476,729,51.0,10,Tuesday,0
Job Advice from an Oracle Hiring Manager (Silicon Valley),2024-05-04 11:30:01+00:00,PT18M12S,163636,6822,380,1092.0,11,Saturday,1
"Microsoft Girl in the US talks about AI, DSA and life in the US 🔥",2024-05-02 17:34:11+00:00,PT21M41S,233644,7392,437,1301.0,17,Thursday,1
"Jensen Huang on AI, work-life balance, success, and more 🔥",2024-04-29 07:50:52+00:00,PT10M42S,107199,4410,295,642.0,7,Monday,1
Future of AI ft. Indian Developer in USA @SinghInUSA,2024-04-26 16:50:02+00:00,PT7M56S,143325,5539,402,476.0,16,Friday,1
The  Ultimate Python Programming Roadmap (Before you Start)🐍,2024-04-24 11:30:07+00:00,PT11M39S,1054003,40149,1317,699.0,11,Wednesday,0
Tutorial: Create a WordPress eCommerce Website for Beginners 🔥,2024-04-23 14:30:31+00:00,PT3H7M17S,236765,5796,777,11237.0,14,Tuesday,1
Complete 2024 Roadmap to Become a Data Scientist,2024-04-21 11:30:18+00:00,PT23M51S,851094,32203,2553,1431.0,11,Sunday,1
Project GetMeAChai - Patreon Clone in Next.js | Sigma Web Development Course - Tutorial #131,2024-04-20 14:21:47+00:00,PT4H49M2S,274916,4932,943,17342.0,14,Saturday,1
Build WooCommerce store & integrate email marketing to boost sales +40%,2024-04-17 14:04:44+00:00,PT10M27S,11400,399,84,627.0,14,Wednesday,1
Building Peer-to-Peer Applications using Pears!,2024-04-15 11:30:19+00:00,PT11M56S,23107,877,166,716.0,11,Monday,1
5 Things I am doing to Beat AI (Copy These!) 💥,2024-04-11 15:17:22+00:00,PT6M,250342,10362,626,360.0,15,Thursday,1
Speed up your WordPress Website in 1 Click! (5X Faster),2024-04-10 12:05:02+00:00,PT5M38S,23445,893,156,338.0,12,Wednesday,1
How to Make a Professional Website using AI in 10 Minutes!,2024-04-08 12:17:23+00:00,PT19M28S,159178,5538,344,1168.0,12,Monday,1
"Profitable Web Developer RoadMap - Step by Step | Freelancing, Jobs & AI in Web Development 🔥",2024-04-05 05:30:18+00:00,PT13M53S,942115,42514,1456,833.0,5,Friday,0
Let's build an Amazon price tracker using React & Python 🔥,2024-04-03 11:30:27+00:00,PT1H8M13S,49863,1792,225,4093.0,11,Wednesday,1
GitHub Copilot - FREE Forever!! (Legal Way),2024-04-01 11:30:20+00:00,PT5M,197944,7432,627,300.0,11,Monday,1
5 Things I Wish I Knew When I Started Programming (Honest Truth),2024-03-29 17:56:59+00:00,PT9M7S,149162,9037,619,547.0,17,Friday,1
Run your own AI (but private),2024-03-28 11:30:17+00:00,PT3M51S,106724,6327,1463,231.0,11,Thursday,1
AI Killed Web Development - The Reality (Honest Truth) 😢,2024-03-24 11:35:52+00:00,PT21M48S,421094,19478,2243,1308.0,11,Sunday,1
💥Windows vs Linux vs Mac - End of Debate (Eye-Opening) 💥,2024-03-23 05:36:50+00:00,PT10M49S,299121,8766,2214,649.0,5,Saturday,1
Devin is here - This is the end ☠️,2024-03-20 06:37:17+00:00,PT11M56S,561035,26266,2796,716.0,6,Wednesday,1
➡️ You Must Try This IDE! 🤯,2024-03-19 12:24:23+00:00,PT9M44S,34910,1353,155,584.0,12,Tuesday,1
"React Project: Password Manager using React, Tailwind, MongoDB & Express | Sigma WebD Tutorial #130",2024-03-18 12:33:11+00:00,PT2H28M15S,242369,4593,823,8895.0,12,Monday,1
🎮 How to Become a Game Developer | Complete Roadmap for Game Development 🎮,2024-03-17 05:30:16+00:00,PT9M48S,877107,31057,1384,588.0,5,Sunday,1
Benefits of Coding 🔥🔥,2024-03-16 08:14:54+00:00,PT1M1S,316220,20430,258,61.0,8,Saturday,1
Use WordPress & WooCommerce in 2025 AI Era - Here's Why! (Eye Opening),2024-03-15 05:30:05+00:00,PT10M6S,286419,6257,586,606.0,5,Friday,1
How To Become an Ethical Hacker? | CyberSecurity Roadmap 2024 (Beginner's Guide),2024-03-13 16:26:57+00:00,PT11M14S,578559,26697,2536,674.0,16,Wednesday,1
